volume,faction,proportion,absolute,proportion_factions,proportion_factions_including_neutral
1,whig,0.0026619563929620956,3213,0.7725414763164222,0.1925566343042071
1,tory,0.000783756846480592,946,0.22745852368357777,0.0566942346877622
2,whig,0.0014556686213197348,1904,0.7123082678638234,0.08915944743619761
2,tory,0.0005879249841359643,769,0.2876917321361766,0.03601030203699368
3,whig,0.017358398921085424,20156,0.7579723225030084,0.26379091468282534
3,tory,0.0055426997150280705,6436,0.24202767749699158,0.08423091520632386
4,whig,0.017421002334288983,17792,0.7530686531787014,0.25679810634489925
4,tory,0.005712349798687158,5834,0.24693134682129858,0.08420414525720224
5,whig,0.01627920027344567,22337,0.4228010069845356,0.1688870406774535
5,tory,0.02222401992830068,30494,0.5771989930154644,0.23056101618025102
6,whig,0.026059877782499744,35566,0.5817045844850428,0.2850068114432246
6,tory,0.018739283987162767,25575,0.41829541551495725,0.20494430643481049
