author_id,author_name,author_label,header_index,header_text,fragment_length,pages,header_text_short
107533796,"Raleigh, Walter, Sir, 1552?-1618.",other,5907,"THE HISTORY OF GREAT BRITAIN.

# JAMES I. CHAP. I. Introduction.-Death and character of Queen Elizabeth.-James's first transactions.-State of Europe.-Rosni's negotiations.-Raleigh's conspiracy.-Character of the puritans.-Hampton-cour ...",311,0.1078867727533739,THE HISTORY OF GREAT BRITAIN. JAMES I. CHAP. I. In[…]
34794161,"Carte, Thomas, 1686-1754.",jacobite,5907,"THE HISTORY OF GREAT BRITAIN.

# JAMES I. CHAP. I. Introduction.-Death and character of Queen Elizabeth.-James's first transactions.-State of Europe.-Rosni's negotiations.-Raleigh's conspiracy.-Character of the puritans.-Hampton-cour ...",221,0.07666552018808885,THE HISTORY OF GREAT BRITAIN. JAMES I. CHAP. I. In[…]
NA,Others,varies,5907,"THE HISTORY OF GREAT BRITAIN.

# JAMES I. CHAP. I. Introduction.-Death and character of Queen Elizabeth.-James's first transactions.-State of Europe.-Rosni's negotiations.-Raleigh's conspiracy.-Character of the puritans.-Hampton-cour ...",2298,0.7971826488336117,THE HISTORY OF GREAT BRITAIN. JAMES I. CHAP. I. In[…]
25436157,"Townshend, Hayward, 1577-",other,5907,"THE HISTORY OF GREAT BRITAIN.

# JAMES I. CHAP. I. Introduction.-Death and character of Queen Elizabeth.-James's first transactions.-State of Europe.-Rosni's negotiations.-Raleigh's conspiracy.-Character of the puritans.-Hampton-cour ...",112,0.038853114303465844,THE HISTORY OF GREAT BRITAIN. JAMES I. CHAP. I. In[…]
NA,Others,varies,61638,CHAP. II. Gun-powder conspiracy.-Character of the catholics.-A parliament.-Truce betwixt Spain and the united provinces.-A parliament.-Death of the French King.-Arminianism.-State of Ireland.-,5811,2.0158522072985714,CHAP. II. Gun-powder conspiracy.-Character of the […]
34794161,"Carte, Thomas, 1686-1754.",jacobite,61638,CHAP. II. Gun-powder conspiracy.-Character of the catholics.-A parliament.-Truce betwixt Spain and the united provinces.-A parliament.-Death of the French King.-Arminianism.-State of Ireland.-,620,0.2150797398941859,CHAP. II. Gun-powder conspiracy.-Character of the […]
NA,Others,varies,137849,CHAP. III. Death of Prince Henry.-Marriage of the Princess Elizabeth with the Palatine.-Rise of Samerset.-His marriage.-Overbury poison-ed.-Fall of Somerset.-Rise of Buckingham-Cautionary towns deli,3258,1.1302093428633189,CHAP. III. Death of Prince Henry.-Marriage of the […]
2540641,"Prynne, William, 1600-1669.",parliamentarian,201399,CHAP. IV. Sir Walter Raleigh's expedition.-His execution.-Insurrections in Bohemia.-Loss of the Palatinate.-Negotiations with Spain.-A parliament.-Parties.-Fall of Bacon.-Rupture betwixt King and parl ...,1690,0.5862657426147971,CHAP. IV. Sir Walter Raleigh's expedition.-His exe[…]
NA,Others,varies,201399,CHAP. IV. Sir Walter Raleigh's expedition.-His execution.-Insurrections in Bohemia.-Loss of the Palatinate.-Negotiations with Spain.-A parliament.-Parties.-Fall of Bacon.-Rupture betwixt King and parl ...,2739,0.9501667864035084,CHAP. IV. Sir Walter Raleigh's expedition.-His exe[…]
5986821,"Rushworth, John, 1612?-1690.",parliamentarian,201399,CHAP. IV. Sir Walter Raleigh's expedition.-His execution.-Insurrections in Bohemia.-Loss of the Palatinate.-Negotiations with Spain.-A parliament.-Parties.-Fall of Bacon.-Rupture betwixt King and parl ...,168,0.058279671455198766,CHAP. IV. Sir Walter Raleigh's expedition.-His exe[…]
44321950,"Frankland, Thomas, 1633-1690.",other,201399,CHAP. IV. Sir Walter Raleigh's expedition.-His execution.-Insurrections in Bohemia.-Loss of the Palatinate.-Negotiations with Spain.-A parliament.-Parties.-Fall of Bacon.-Rupture betwixt King and parl ...,97,0.03364957220925167,CHAP. IV. Sir Walter Raleigh's expedition.-His exe[…]
NA,Others,varies,273059,CHAP. V. Negotiations with regard to the marriage and the Palatinate.-Character of Buckingham.-Prince's journey to Spain.-Marriage treaty broken.-A parlliament.-Return of Briston.-Rupture with Spain.- ...,5189,1.8000786617918239,CHAP. V. Negotiations with regard to the marriage […]
25436157,"Townshend, Hayward, 1577-",other,273059,CHAP. V. Negotiations with regard to the marriage and the Palatinate.-Character of Buckingham.-Prince's journey to Spain.-Marriage treaty broken.-A parlliament.-Return of Briston.-Rupture with Spain.- ...,3619,1.25544125593074,CHAP. V. Negotiations with regard to the marriage […]
72190523,"Strafford, Thomas Wentworth, Earl of, 1593-1641.",other,344923,CHAP. VI. Civil government of England during this period.-Ecclesiastical govern-ment.-Manners.-Finances.-Navy.-Commerce.-Ma-nufactures.-Colonies.-Learning and arts.,81,0.028099127308756546,CHAP. VI. Civil government of England during this […]
NA,Others,varies,344923,CHAP. VI. Civil government of England during this period.-Ecclesiastical govern-ment.-Manners.-Finances.-Navy.-Commerce.-Ma-nufactures.-Colonies.-Learning and arts.,1304,0.4523612593903523,CHAP. VI. Civil government of England during this […]
107533796,"Raleigh, Walter, Sir, 1552?-1618.",other,344923,CHAP. VI. Civil government of England during this period.-Ecclesiastical govern-ment.-Manners.-Finances.-Navy.-Commerce.-Ma-nufactures.-Colonies.-Learning and arts.,1924,0.6674409992845383,CHAP. VI. Civil government of England during this […]
NA,Others,varies,420904,"THE HISTORY OF GREAT BRITAIN.

# CHARLES I. CHAP. I. A parliament at Westminster.-At Oxford.-Naval expedition against Spain.-Second parliament.-Impeachment of Buckingham.-Violent measures of the court.-War with France.-Expedition to the isle of ...",721,0.2501169233285614,THE HISTORY OF GREAT BRITAIN. CHARLES I. CHAP. I. […]
5986821,"Rushworth, John, 1612?-1690.",parliamentarian,420904,"THE HISTORY OF GREAT BRITAIN.

# CHARLES I. CHAP. I. A parliament at Westminster.-At Oxford.-Naval expedition against Spain.-Second parliament.-Impeachment of Buckingham.-Violent measures of the court.-War with France.-Expedition to the isle of ...",1325,0.45964621832225216,THE HISTORY OF GREAT BRITAIN. CHARLES I. CHAP. I. […]
72190523,"Strafford, Thomas Wentworth, Earl of, 1593-1641.",other,488541,CHAP. II. Third parliament.-Petition of right.-Prorogation.-Death of Buckingham.-New session of parliament.-Tonnage and poundage.-Arminianism.-Dissolution.,1078,0.3739612251708587,CHAP. II. Third parliament.-Petition of right.-Pro[…]
2540641,"Prynne, William, 1600-1669.",parliamentarian,488541,CHAP. II. Third parliament.-Petition of right.-Prorogation.-Death of Buckingham.-New session of parliament.-Tonnage and poundage.-Arminianism.-Dissolution.,1038,0.3600851129196209,CHAP. II. Third parliament.-Petition of right.-Pro[…]
NA,Others,varies,488541,CHAP. II. Third parliament.-Petition of right.-Prorogation.-Death of Buckingham.-New session of parliament.-Tonnage and poundage.-Arminianism.-Dissolution.,30398,10.545151505328167,CHAP. II. Third parliament.-Petition of right.-Pro[…]
5986821,"Rushworth, John, 1612?-1690.",parliamentarian,488541,CHAP. II. Third parliament.-Petition of right.-Prorogation.-Death of Buckingham.-New session of parliament.-Tonnage and poundage.-Arminianism.-Dissolution.,3895,1.3511864304642809,CHAP. II. Third parliament.-Petition of right.-Pro[…]
44321950,"Frankland, Thomas, 1633-1690.",other,574855,CHAP. III. Peace with France.-Peace with Spain.-State of the court and mi-nistry.-Character of the Queen.-Strafford.-Laud.-Innova-tions in the church.-Irregular levies of money.-Severities in the star ...,2149,0.7454941306977508,CHAP. III. Peace with France.-Peace with Spain.-St[…]
NA,Others,varies,574855,CHAP. III. Peace with France.-Peace with Spain.-State of the court and mi-nistry.-Character of the Queen.-Strafford.-Laud.-Innova-tions in the church.-Irregular levies of money.-Severities in the star ...,1094,0.37951167007135383,CHAP. III. Peace with France.-Peace with Spain.-St[…]
5986821,"Rushworth, John, 1612?-1690.",parliamentarian,574855,CHAP. III. Peace with France.-Peace with Spain.-State of the court and mi-nistry.-Character of the Queen.-Strafford.-Laud.-Innova-tions in the church.-Irregular levies of money.-Severities in the star ...,706,0.2449133812343472,CHAP. III. Peace with France.-Peace with Spain.-St[…]
2540641,"Prynne, William, 1600-1669.",parliamentarian,574855,CHAP. III. Peace with France.-Peace with Spain.-State of the court and mi-nistry.-Character of the Queen.-Strafford.-Laud.-Innova-tions in the church.-Irregular levies of money.-Severities in the star ...,1627,0.5644108658190976,CHAP. III. Peace with France.-Peace with Spain.-St[…]
NA,Others,varies,642923,CHAP. IV. Discontents in Scotland.-Introduction of the canons and liturgy.-A tumult at Edinburgh.-The covenant.-A general assembly.-E-piscopacy abolished.-War.-A parcification.-Renewal of the war.-Fou ...,1616,0.5605949349500071,CHAP. IV. Discontents in Scotland.-Introduction of[…]
44321950,"Frankland, Thomas, 1633-1690.",other,642923,CHAP. IV. Discontents in Scotland.-Introduction of the canons and liturgy.-A tumult at Edinburgh.-The covenant.-A general assembly.-E-piscopacy abolished.-War.-A parcification.-Renewal of the war.-Fou ...,144,0.049954004104456086,CHAP. IV. Discontents in Scotland.-Introduction of[…]
67750325,England and Wales. Sovereign (1625-1649 : Charles I),royalist,728042,CHAP. V. Meeting of the long parlilament.-Strafford and Laud impeached.-Finch and Windbank fly.-Great authority of the commons.-The bishops attacked.-Tonnage and poundage.-Triennial bill.-Strafford's,381,0.13216996919304005,CHAP. V. Meeting of the long parlilament.-Straffor[…]
72190523,"Strafford, Thomas Wentworth, Earl of, 1593-1641.",other,728042,CHAP. V. Meeting of the long parlilament.-Strafford and Laud impeached.-Finch and Windbank fly.-Great authority of the commons.-The bishops attacked.-Tonnage and poundage.-Triennial bill.-Strafford's,2644,0.9172110198068186,CHAP. V. Meeting of the long parlilament.-Straffor[…]
